Date,Open,High,Low,Close,Volume,Marketcap,
2024-12-11,96656.06162,101913.3625,95747.22887,101173.0326,85391409936,2002680000000 ,
2024-12-10,97441.23447,98270.15277,94321.25879,96675.43354,1.05E+11,1913240000000 ,
2024-12-09,101237.0615,101272.5042,94355.91104,97432.72126,1.11E+11,1928510000000 ,
2024-12-08,99921.9168,101399.9887,98771.51417,101236.0131,44125751925,2003540000000 ,
2024-12-07,99916.71446,100563.3798,99030.88649,99923.33662,44177510897,1977520000000 ,
2024-12-06,97074.22483,102039.8818,96514.87608,99920.71473,94534772658,1977630000000 ,
2024-12-05,98741.53938,103900.4721,91998.7817,96593.57227,1.49E+11,1911780000000 ,
2024-12-04,95988.52871,99207.32507,94660.52325,98768.52756,77199817112,1954160000000 ,
2024-12-03,95854.59743,96297.20006,93629.55989,96002.16214,67067810961,1899530000000 ,
2024-12-02,97276.01012,98152.59825,94482.86334,95865.30163,72680784305,1896990000000 ,
2024-12-01,96461.3368,97888.12727,95770.18447,97279.79292,36590695296,1924780000000 ,
2024-11-30,97468.81245,97499.3424,96144.21983,96449.05581,31634227866,1908650000000 ,
2024-11-29,95653.95259,98693.16817,95407.88637,97461.52371,54968682476,1928820000000 ,
2024-11-28,95954.94488,96650.20377,94677.3543,95652.46516,52260008261,1892870000000 ,
2024-11-27,91978.13858,97361.18194,91778.66121,95962.52842,71133452438,1898770000000 ,
